Solution Name|Instance System Name|Instance Solution Name|Instance Name
aviva uk:transaction cache prd hpg|ukncsvuaa703.via.novonet|ms-sql engine| 
aviva uk:mainframe security prd hpg|mvsa.via.novonet|ca-acf2|ACF2 MVSA
aviva uk:mainframe security dev hps|mvsd.via.novonet|ca-acf2|ACF2 MVSD
aviva uk:mainframe security prd hpg|mvsr.via.novonet|ca-acf2|ACF2 MVSR
aviva uk:unisure tst hpg(x)|unisure_dev cluster.via.novonet|oracle single instance|CA ORADB
aviva uk:mainframe diags tools prd hps|ibm3.via.novonet|abend-aid for cics|CAFXL-IBM3
aviva uk:mainframe diags tools prd hpg|ibmh.via.novonet|abend-aid for cics|CAFXL-IBMH
aviva uk:mainframe diags tools prd hpg|ibml.via.novonet|abend-aid for cics|CAFXL-IBML
aviva uk:mainframe diags tools prd hpg|ibmr.via.novonet|abend-aid for cics|CAFXL-IBMR
aviva uk:mainframe diags tools prd hpg|lpp1.via.novonet|abend-aid for cics|CAFXL-LPP1
aviva uk:mainframe diags tools prd hpg|lppa.via.novonet|abend-aid for cics|CAFXL-LPPA
aviva uk:mainframe diags tools prd hpg|mvsa.via.novonet|abend-aid for cics|CAFXL-MVSA
aviva uk:mainframe security prd hpg|mvsa.via.novonet|abend-aid for cics|CAFXL-MVSA
aviva uk:mainframe diags tools prd hpg|mvsr.via.novonet|abend-aid for cics|CAFXL-MVSR
aviva uk:mainframe security prd hpg|mvsr.via.novonet|abend-aid for cics|CAFXL-MVSR
aviva uk:mainframe diags tools prd hpp|ibm1.via.novonet|abend-aid for cics|CAFXLTC-IBM1
aviva uk:mainframe diags tools prd hpp|ibm2.via.novonet|abend-aid for cics|CAFXLTC-IBM2
aviva uk:mainframe diags tools prd hpp|ibm5.via.novonet|abend-aid for cics|CAFXLTC-IBM5
aviva uk:mainframe diags tools prd hpp|ibm9.via.novonet|abend-aid for cics|CAFXLTC-IBM9
aviva uk:mainframe diags tools prd hpp|ibma.via.novonet|abend-aid for cics|CAFXLTC-IBMA
aviva uk:mainframe diags tools prd hpg|ibmh.via.novonet|abend-aid for cics|CAFXLTC-IBMH
aviva uk:mainframe diags tools prd hpg|ibml.via.novonet|abend-aid for cics|CAFXLTC-IBML
aviva uk:mainframe diags tools prd hpg|ibmr.via.novonet|abend-aid for cics|CAFXLTC-IBMR
aviva uk:mainframe diags tools prd hpg|lpp1.via.novonet|abend-aid for cics|CAFXLTC-LPP1
aviva uk:mainframe diags tools prd hpg|lpp2.via.novonet|abend-aid for cics|CAFXLTC-LPP2
aviva uk:mainframe diags tools prd hpg|lppa.via.novonet|abend-aid for cics|CAFXLTC-LPPA
aviva uk:mainframe diags tools prd hpg|mvsa.via.novonet|abend-aid for cics|CAFXLTC-MVSA
aviva uk:mainframe diags tools prd hpg|mvsr.via.novonet|abend-aid for cics|CAFXLTC-MVSR
aviva uk:mainframe diags tools dev hps|ibm3.via.novonet|abend-aid for cics|CAFXS-IBM3
aviva uk:mainframe diags tools dev hps|ibm3.via.novonet|abend-aid for cics|CAFXSTC-IBM3
aviva uk:mainframe diags tools dev hps|ibm3.via.novonet|abend-aid for cics|CAFXT-IBM3
aviva uk:mainframe diags tools dev hpg|lpp1.via.novonet|abend-aid for cics|CAFXT-LPP1
aviva uk:mainframe diags tools dev hps|mvsd.via.novonet|abend-aid for cics|CAFXT-MVSD
aviva uk:mainframe diags tools dev hps|ibm3.via.novonet|abend-aid for cics|CAFXTTC-IBM3
aviva uk:mainframe diags tools dev hps|ibm4.via.novonet|abend-aid for cics|CAFXTTC-IBM4
aviva uk:mainframe diags tools dev hpg|lpp1.via.novonet|abend-aid for cics|CAFXTTC-LPP1
aviva uk:mainframe diags tools dev hps|mvsd.via.novonet|abend-aid for cics|CAFXTTC-MVSD
aviva uk:mainframe diags tools dev hps|ibm3.via.novonet|abend-aid for cics|CAFXU-IBM3
aviva uk:mainframe diags tools dev hpg|lpp1.via.novonet|abend-aid for cics|CAFXU-LPP1
aviva uk:mainframe diags tools dev hps|mvsd.via.novonet|abend-aid for cics|CAFXU-MVSD
aviva uk:mainframe diags tools dev hps|ibm3.via.novonet|abend-aid for cics|CAFXUTC-IBM3
aviva uk:mainframe diags tools dev hps|ibm4.via.novonet|abend-aid for cics|CAFXUTC-IBM4
aviva uk:mainframe diags tools dev hpg|lpp1.via.novonet|abend-aid for cics|CAFXUTC-LPP1
aviva uk:mainframe diags tools dev hpg|mvsa.via.novonet|abend-aid for cics|CAFXUTC-MVSA
aviva uk:mainframe diags tools dev hpg|mvsr.via.novonet|abend-aid for cics|CAFXUTC-MVSR
aviva uk:mainframe diags tools prd hpp|ibm1.via.novonet|cics bep data space server|CBLDSNU-IBM1
aviva uk:mainframe diags tools prd hpp|ibm1.via.novonet|cics bep data space server|CBLMSHI-IBM1
aviva uk:mainframe diags tools prd hpp|ibm1.via.novonet|cics bep data space server|CBLMSNU-IBM1
aviva uk:mainframe diags tools dev hps|ibm3.via.novonet|cics bep data space server|CBTDSNU-IBM3
aviva uk:mainframe diags tools dev hps|ibm3.via.novonet|cics bep data space server|CBTMSHI-IBM3
aviva uk:mainframe diags tools dev hps|ibm3.via.novonet|cics bep data space server|CBTMSNU-IBM3
aviva uk:mainframe diags tools dev hps|ibm3.via.novonet|cics bep data space server|CBUDSNU-IBM3
aviva uk:mainframe diags tools dev hps|ibm3.via.novonet|cics bep data space server|CBUMSHI-IBM3
aviva uk:mainframe diags tools dev hps|ibm3.via.novonet|cics bep data space server|CBUMSHIP-IBM3
aviva uk:mainframe diags tools dev hps|ibm3.via.novonet|cics bep data space server|CBUMSNU-IBM3
aviva uk:mainframe diags tools prd hpg|ibm1.via.novonet|ca symdump for cics|CCLTRCF1-IBM1
aviva uk:mainframe diags tools prd hpg|ibm2.via.novonet|ca symdump for cics|CCLTRCF1-IBM2
