Business Service|Transformation Status
abacus ca cashbook & cashman sit hps|As-Is
abacus ca cashbook & cashman uat hps|
aviva uk:!unknown bronze hosting service b|
aviva uk:!unknown gold hosting service g|
aviva uk:4sight securities fin dr hps|
aviva uk:4sight securities fin prd hps|
aviva uk:4sight uat0 hpb|
aviva uk:4sight uat1 hps|
aviva uk:4sight uat2 hpb|
aviva uk:4sight uat3 hpb|
aviva uk:4sight uatr hpb|
aviva uk:4sight web reporting tool uat1 hpb|
aviva uk:abacus ca archive prd hpp|
aviva uk:abacus ca cashbook & cashman dev hps|
aviva uk:abacus ca cashbook & cashman prd hpp|As-Is
aviva uk:abacus ca cashbook & cashman sit hps|
aviva uk:abacus ca cashbook & cashman tst hps|
aviva uk:abacus ca cashbook & cashman uat hps|
aviva uk:abacus ca payprep dev hps|
aviva uk:abacus ca payprep prd hpp|
aviva uk:abacus ca payprep sit hps|
aviva uk:abacus ca payprep tst hps|
aviva uk:abacus ca payprep uat hps|
aviva uk:accord prd hps|As-Is
aviva uk:account matching prd hpp|
aviva uk:accumulation dev hps|
aviva uk:accumulation prd hpp|
aviva uk:accumulation uat hps|
aviva uk:acpm (ukhe) dev hps|
aviva uk:acpm (ukhe) mod hps|
aviva uk:acpm (ukhe) prd hpg|
aviva uk:acpm prd hpp|
aviva uk:acpm pre hps|
aviva uk:acpm sit hps|
aviva uk:acpm trn hps|
aviva uk:acpm uat1 hps|
aviva uk:acpm uat2 hps|
aviva uk:acpm uat3 hps|
aviva uk:active directory (ai) dc im prd hpb|
aviva uk:active directory (ai) dc im prd hpg|
aviva uk:active directory (ai) dc im prd hps|
aviva uk:active directory (ai) dc imuat hpb|
aviva uk:active directory dc prd hpb|
aviva uk:active directory dc prd hpg|
aviva uk:active directory dc prd hps|
aviva uk:active directory itec prd hpb|
aviva uk:acturis data transfer toolkit prd hpb|
aviva uk:acturis data transfer toolkit tst hpb|
aviva uk:acturis data transfer toolkit uat hpb|
aviva uk:addacs prd hpg|
aviva uk:admin re bridge prd hpg|
aviva uk:administrator (dbp) dev hpg|
aviva uk:administrator (dbp) dev hps|
aviva uk:administrator (dbp) dev hps(x)|Transformed
aviva uk:administrator (dbp) prd hpg|
aviva uk:administrator (dbp) prd hpp|
aviva uk:administrator (dbp) prd hps|
aviva uk:administrator (dbp) sit hps|
aviva uk:administrator (dbp) tst hpg|
aviva uk:administrator (dbp) tst hps|
aviva uk:administrator (dbp) uat hpg|
aviva uk:administrator (dbp) uat hps|
aviva uk:administrator (dc) dev hpg|
aviva uk:administrator (dc) dev hpg(x)|
aviva uk:administrator (dc) dev hps|
aviva uk:administrator (dc) dev hps(x)|
aviva uk:administrator (dc) prd hpg|
aviva uk:administrator (dc) prd hpp(x)|
aviva uk:administrator (dc) prd hps|
aviva uk:administrator (dc) pre hps|
aviva uk:administrator (dc) tst hpg|
aviva uk:administrator (dc) uat hpg|
aviva uk:administrator (ukhe) dev hpb|
aviva uk:administrator (ukhe) dev hps|
aviva uk:administrator (ukhe) prd hpg|
aviva uk:administrator (ukhe) prd hps|
aviva uk:administrator (ukhe) pre hpg|
aviva uk:administrator (ukhe) pre hps|
aviva uk:ads dev hpb|
aviva uk:ads dev hpg|
aviva uk:ads dev hps|
aviva uk:ads mod hpg|
aviva uk:ads prd hpg|
aviva uk:ads pre hpg|
aviva uk:ads sit hpg|
aviva uk:ads trn hpg|
aviva uk:advantage fee billing prd hpg|
aviva uk:advantage fee billing uat3 hpb|
aviva uk:adviser portal (public) dev hpb|
aviva uk:adviser portal (public) dev hps|
aviva uk:adviser portal (public) prd hpb|
aviva uk:adviser portal (public) prd hpg|
aviva uk:adviser portal (public) prd hpg(x)|
aviva uk:adviser portal (public) prd hps|
aviva uk:adviser portal (public) pre hpg|
aviva uk:adviser portal (public) pre hps|
aviva uk:adviser portal (public) pre hps(x)|
aviva uk:adviser portal (public) prv hpg|
aviva uk:adviser portal (public) prv hps|
aviva uk:adviser portal (public) sit hpb|
aviva uk:adviser portal (public) sit hps|
aviva uk:adviser portal (public) tst hpb|
aviva uk:adviser portal (public) tst hps|
aviva uk:adviser portal (public) uat hpb|
aviva uk:adviser portal (public) uat hps|
aviva uk:adviser portal (secure) dev hpb|
aviva uk:adviser portal (secure) dev hpg|
aviva uk:adviser portal (secure) dev hps|
aviva uk:adviser portal (secure) prd hpg|
aviva uk:adviser portal (secure) pre hpg|
aviva uk:adviser portal (secure) pre hps|
aviva uk:adviser portal (secure) prv hpg|
aviva uk:adviser portal (secure) prv hps|
aviva uk:adviser portal (secure) sit hpb|
aviva uk:adviser portal (secure) sit hpg|
aviva uk:adviser portal (secure) sit hps|
aviva uk:adviser portal (secure) tst hpb|
aviva uk:adviser portal (secure) tst hps|
aviva uk:adviser portal (secure) uat hpb|
aviva uk:adviser portal (secure) uat hps|
aviva uk:adviser portal auth dev hpb|
aviva uk:adviser portal auth dev hpg|
aviva uk:adviser portal auth dev hps|
aviva uk:adviser portal auth prd hpb|
aviva uk:adviser portal auth prd hpg|
aviva uk:adviser portal auth prd hps|
aviva uk:adviser portal dev hpb(x)|
aviva uk:adviser portal prd hpg|
aviva uk:adviser portal prd hps|
aviva uk:adviser portal pre hpg|
aviva uk:adviser portal pre hpg(x)|
aviva uk:adviser portal pre hpp|
aviva uk:adviser portal pre hps|
aviva uk:adviser portal pre hps(x)|
aviva uk:adviser portal sit hpb|
aviva uk:adviser portal sit hps|
aviva uk:adviser portal tst hpb|
aviva uk:adviser portal tst hps|
aviva uk:adviser portal tst hps(x)|
aviva uk:adviser portal uat hps|
aviva uk:adwl sql db dev hpb|
aviva uk:adwl sql db prd hpb|
aviva uk:adwl sql db tst hpb|
aviva uk:adwl sql db uat hpb|
aviva uk:ae file transfer dev hpb|
aviva uk:ae file transfer prd hpg|
aviva uk:ae file transfer prd hps|
aviva uk:ae file transfer pre hpg|
aviva uk:ae file transfer pre hps|
aviva uk:ae file transfer prv hps|
aviva uk:ae file transfer sit hpb|
aviva uk:ae file transfer tst hpb|
aviva uk:ae file transfer uat hpb|
aviva uk:af e-collections uat hpg|
aviva uk:af message broker prd hpg|
aviva uk:af mf exceed policy dev hpg|
aviva uk:af mf exceed policy prd hpg|
aviva uk:af mf exceed policy tst hpg|
aviva uk:af mf exceed policy uat hpg|
aviva uk:af oracle fin dev hpb|
aviva uk:af oracle fin dev hpg|
aviva uk:af oracle fin prd hpg|
aviva uk:af oracle fin prd hps|
aviva uk:af oracle fin pre hpb|
aviva uk:af oracle fin tst hpb|
aviva uk:af support dev hpb|
aviva uk:af support prd hpg|
aviva uk:af support prd hps|
aviva uk:af support pre hpb|
aviva uk:af support tst hpb|
aviva uk:af support uat hpb|
aviva uk:af web service gateway dev hpb|
aviva uk:af web service gateway dev hpg|
aviva uk:af web service gateway prd hpg|
aviva uk:af web service gateway prd hps|
aviva uk:af web service gateway prd hps(x)|
aviva uk:af web service gateway pre hpb|
aviva uk:af web service gateway pre hpg|
aviva uk:af web service gateway prv hpg|
aviva uk:af web service gateway tst hpb|
aviva uk:af web service gateway tst hpg|
aviva uk:af web service gateway tst hps|
aviva uk:af web service gateway uat hpb|
aviva uk:af web service gateway uat hpg|
aviva uk:af web service gateway uat hps|
aviva uk:agc bucket hp hs|
aviva uk:agency - ag dev hps|
aviva uk:agency - ag prd hpg|
aviva uk:agency - ag prd hpp|
aviva uk:agency - cq  prd hpg|
aviva uk:agency gii prd hpg|
aviva uk:agency gii prd hpp|
aviva uk:agency gii tst hpg|
aviva uk:agency gii uat hpg|
aviva uk:agency master dev hps|
aviva uk:agency master prd hpp|
aviva uk:agency master uat hps|
aviva uk:agreement esb (ukl) dev hps|
aviva uk:agreement esb (ukl) prd hpg|
aviva uk:agreement esb (ukl) pre hpg|
aviva uk:agreement esb (ukl) prv hps|
aviva uk:agreement esb (ukl) sit hps|
aviva uk:agreement esb (ukl) tst hps|
aviva uk:agreement esb (ukl) uat hps|
aviva uk:agreement wps (ukl) dev hpb|
aviva uk:agreement wps (ukl) dev hps|
aviva uk:agreement wps (ukl) prd hpg|
aviva uk:agreement wps (ukl) pre hpb|
aviva uk:agreement wps (ukl) pre hpg|
aviva uk:agreement wps (ukl) prv hps|
aviva uk:agreement wps (ukl) sit hps|
aviva uk:agreement wps (ukl) tst hps|
aviva uk:agreement wps (ukl) uat hps|
aviva uk:ai ftp prd hpg|
aviva uk:ai ftp uat0 hpb|
aviva uk:ai ftp uat1 hpb|
aviva uk:ai ftp uat2 hpb|
aviva uk:ai ftp uat3 hpb|
aviva uk:ai ftp uatr hpb|
aviva uk:ai hub schema prd hpg|
aviva uk:ai hub schema uat hpb|
aviva uk:ai temp build hpb|
