System Name 1|Solution Name 1|Instance Name 1|System Name 2|Solution Name 2|Instance Name 2
dwpg (dsg).via.novonet|mf data share group|n/a|ibma.via.novonet|db2 instance|DWP1 (DB2)
ibm1.via.novonet|cics transaction server|CILHI9B3|ibm1.via.novonet|cics transaction server|CILHI9A1
ibm1.via.novonet|cics transaction server|CILXA1Z1|ibm9.via.novonet|cics transaction server|CILXA1BA
ibm1.via.novonet|cics transaction server|CILXA1Z1|ibm9.via.novonet|cics transaction server|CILXA1BB
ibm1.via.novonet|cics transaction server|CILXA1Z1|ibm9.via.novonet|cics transaction server|CILXA1BC
ibm1.via.novonet|cics transaction server|CILXA1Z1|ibm9.via.novonet|cics transaction server|CILXA1BH
ibm1.via.novonet|cics transaction server|CILXA1Z1|ibm9.via.novonet|cics transaction server|CILXA1BI
ibm1.via.novonet|cics transaction server|CILXA1Z1|ibm9.via.novonet|cics transaction server|CILXA1BK
ibm1.via.novonet|cics transaction server|CILXA1Z1|ibm9.via.novonet|cics transaction server|CILXA1CB
ibm1.via.novonet|db2 instance|DBP2 (DB2)|dbpg (dsg).via.novonet|mf data share group|
ibm1.via.novonet|db2 instance|DGP1 (DB2)|dgpg (dsg).via.novonet|mf data share group|
ibm1.via.novonet|db2 instance|DIP1 (DB2)|dipg (dsg).via.novonet|mf data share group|
ibm1.via.novonet|db2 instance|DLP2 (DB2)|dlpg (dsg).via.novonet|mf data share group|
ibm1.via.novonet|db2 instance|DNN1 (DB2)|dnng (dsg).via.novonet|mf data share group|
ibm1.via.novonet|db2 instance|DWP3 (DB2)|dwpg (dsg).via.novonet|mf data share group|
ibm1.via.novonet|cics transaction server|CILAZ1O1|ibm1.via.novonet|cics transaction server|CILAZ1F1
ibm1.via.novonet|cics transaction server|CILAZ1O2|ibm1.via.novonet|cics transaction server|CILAZ1F2
ibm1.via.novonet|cics transaction server|CILAZ1O3|ibm1.via.novonet|cics transaction server|CILAZ1F3
ibm1.via.novonet|cics transaction server|CILAZ1O4|ibm1.via.novonet|cics transaction server|CILAZ1F4
ibm1.via.novonet|cics transaction server|CILAZ1T1|ibm1.via.novonet|cics transaction server|CILAZ1F1
ibm1.via.novonet|cics transaction server|CILAZ1T1|ibm1.via.novonet|cics transaction server|CILAZ1F2
ibm1.via.novonet|cics transaction server|CILAZ1T1|ibm1.via.novonet|cics transaction server|CILAZ1F3
