System Name|IP Type|ip_adress|ip_name
021fv1b.via.novonet|Primary IP||021FV1B.VIA.NOVONET
021fv2b.via.novonet|Primary IP||021FV2B.VIA.NOVONET
022fv1c.via.novonet|Primary IP||022FV1C.VIA.NOVONET
022fv2c.via.novonet|Primary IP||022FV2C.VIA.NOVONET
025fv1b.via.novonet|Primary IP||025FV1B.VIA.NOVONET
025fv2b.via.novonet|Primary IP||025FV2B.VIA.NOVONET
026fv1c.via.novonet|Primary IP||026FV1C.VIA.NOVONET
026fv2c.via.novonet|Primary IP||026FV2C.VIA.NOVONET
143dv1c.via.novonet|Primary IP||143DV1C.VIA.NOVONET
143dv2c.via.novonet|Primary IP||143DV2C.VIA.NOVONET
22bdv1b.via.novonet|Primary IP||22BDV1B.VIA.NOVONET
22bdv2b.via.novonet|Primary IP||22BDV2B.VIA.NOVONET
3590-manual ctl.via.novonet|Primary IP||3590-manual ctl.via.novonet
3590-manual dr0.via.novonet|Primary IP||3590-manual dr0.via.novonet
3590-manual dr1.via.novonet|Primary IP||3590-manual dr1.via.novonet
3838143.via.novonet|||
3838421.via.novonet|Primary IP||3838421.via.novonet
3838422.via.novonet|||
3fbdv1b.via.novonet|Primary IP||3FBDV1B.VIA.NOVONET
3fbdv2b.via.novonet|Primary IP||3FBDV2B.VIA.NOVONET
5b4dv1c.via.novonet|Primary IP||5B4DV1C.VIA.NOVONET
5b4dv2c.via.novonet|Primary IP||5B4DV2C.VIA.NOVONET
5b5dv1b.via.novonet|Primary IP||5B5DV1B.VIA.NOVONET
5b5dv2b.via.novonet|Primary IP||5B5DV2B.VIA.NOVONET
5b6dv1b.via.novonet|Primary IP||5B6DV1B.VIA.NOVONET
5b6dv2b.via.novonet|Primary IP||5B6DV2B.VIA.NOVONET
5b7dv1c.via.novonet|Primary IP||5B7DV1C.VIA.NOVONET
5b7dv2c.via.novonet|Primary IP||5B7DV2C.VIA.NOVONET
743m9275.via.novonet|Primary IP||743m9275.via.novonet
82afv1b.via.novonet|Primary IP||82AFV1B.VIA.NOVONET
82afv2b.via.novonet|Primary IP||82AFV2B.VIA.NOVONET
82afvn1.via.novonet|Primary IP||82AFVN1.VIA.NOVONET
82afvn2.via.novonet|Primary IP||82AFVN2.VIA.NOVONET
82afvs1.via.novonet|Primary IP||82AFVS1.VIA.NOVONET
82afvs2.via.novonet|Primary IP||82AFVS2.VIA.NOVONET
836fv1c.via.novonet|Primary IP||836FV1C.VIA.NOVONET
836fv2c.via.novonet|Primary IP||836FV2C.VIA.NOVONET
836fvn1.via.novonet|Primary IP||836FVN1.VIA.NOVONET
836fvn2.via.novonet|Primary IP||836FVN2.VIA.NOVONET
836fvs1.via.novonet|Primary IP||836FVS1.VIA.NOVONET
836fvs2.via.novonet|Primary IP||836FVS2.VIA.NOVONET
9309 rack.via.novonet|Primary IP||9309 rack.via.novonet
actalt03.via.novonet|Primary IP|10.30.169.112|
actalt03.via.novonet|Primary IP||ACTALT03.VIA.NOVONET
actav001.via.novonet|Primary IP|10.14.58.57|
actav001.via.novonet|Primary IP||ACTAV001.VIA.NOVONET
actav002.via.novonet|DNS Server|10.14.100.211|
actav002.via.novonet|DNS Server|10.14.100.59|
actav002.via.novonet|Gateway|10.14.57.3|
actav002.via.novonet|NTP Server|NA|
actav002.via.novonet|Primary IP|10.14.57.57|
actav002.via.novonet|Primary IP||ACTAV002.VIA.NOVONET
actav002.via.novonet|Primary IP||actav002.via.novonet
actav002.via.novonet|Primary WINS Server|10.14.100.138|
actav002.via.novonet|Secondary WINS Server|10.14.100.140|
actcx001.error.com|Primary IP|10.14.58.38|
actcx001.error.com|Primary IP||ACTCX001.VIA.NOVONET
actcx002.via.novonet|Primary IP|10.198.157.48|
actcx002.via.novonet|Primary IP||ACTCX002.VIA.NOVONET
actcx009.via.novonet|Primary IP||ACTCX009.VIA.NOVONET
actcx010.via.novonet|Primary IP|10.14.57.39|
actcx010.via.novonet|Primary IP||ACTCX010.VIA.NOVONET
actcx011.via.novonet|Primary IP|10.14.57.40|
actcx011.via.novonet|Primary IP||ACTCX011.VIA.NOVONET
actcx012.via.novonet|Primary IP|10.14.57.41|
actcx012.via.novonet|Primary IP||ACTCX012.VIA.NOVONET
actdc001.via.novonet|Primary IP||actdc001.via.novonet
actdc002.error.com|Primary IP||actdc002.error.com
actdfs01.via.novonet|DNS Server|10.14.100.211|
actdfs01.via.novonet|DNS Server|10.14.100.58|
actdfs01.via.novonet|DNS Server|10.14.100.59|
actdfs01.via.novonet|Gateway|10.14.57.3|
actdfs01.via.novonet|NTP Server|NA|
actdfs01.via.novonet|Primary IP|10.14.57.42|
actdfs01.via.novonet|Primary IP||ACTDFS01.VIA.NOVONET
actdfs01.via.novonet|Primary IP||actdfs01.via.novonet
actdfs01.via.novonet|Primary WINS Server|10.14.100.160|
actdfs01.via.novonet|Secondary WINS Server|10.14.100.140|
actdfs02.via.novonet|DNS Server|10.14.100.216|
actdfs02.via.novonet|DNS Server|10.14.100.58|
actdfs02.via.novonet|DNS Server|10.14.100.59|
actdfs02.via.novonet|Gateway|10.14.58.3|
actdfs02.via.novonet|NTP Server|NA|
actdfs02.via.novonet|Primary IP|10.14.58.42|
actdfs02.via.novonet|Primary IP||ACTDFS02.VIA.NOVONET
actdfs02.via.novonet|Primary IP||actdfs02.via.novonet
actdfs02.via.novonet|Primary WINS Server|10.14.100.160|
actdfs02.via.novonet|Secondary WINS Server|10.14.100.158|
actfs001.via.novonet|Primary IP|10.14.58.52|
actfs001.via.novonet|Primary IP||ACTFS001.VIA.NOVONET
actfs002.via.novonet|Primary IP|10.14.58.50|
actfs002.via.novonet|Primary IP||ACTFS002.VIA.NOVONET
actfs003.via.novonet|Primary IP|10.14.57.50|
