Full Node Name|System Group Name|System Group Type
025fv1b.via.novonet|NONHPSA|reporting
025fv2b.via.novonet|NONHPSA|reporting
026fv1c.via.novonet|NONHPSA|reporting
026fv2c.via.novonet|NONHPSA|reporting
143dv1c.via.novonet||
143dv2c.via.novonet||
22bdv1b.via.novonet||
22bdv2b.via.novonet||
3590-manual ctl.via.novonet||
3590-manual dr0.via.novonet||
3590-manual dr1.via.novonet||
3838143.via.novonet||
3838421.via.novonet||
3838422.via.novonet||
3fbdv1b.via.novonet||
3fbdv2b.via.novonet||
5b4dv1c.via.novonet|NONHPSA|reporting
5b4dv2c.via.novonet|NONHPSA|reporting
5b5dv1b.via.novonet|NONHPSA|reporting
5b5dv2b.via.novonet|NONHPSA|reporting
5b6dv1b.via.novonet|NONHPSA|reporting
5b6dv2b.via.novonet|NONHPSA|reporting
5b7dv1c.via.novonet|NONHPSA|reporting
5b7dv2c.via.novonet|NONHPSA|reporting
9309 rack.via.novonet||
actav002.via.novonet|NONHPSA|reporting
actdfs01.via.novonet|NONHPSA|reporting
actdfs02.via.novonet|NONHPSA|reporting
actfs012.via.novonet|NONHPSA|reporting
actfs013.via.novonet|NONHPSA|reporting
actfs014.via.novonet|NONHPSA|reporting
actfs015.via.novonet|NONHPSA|reporting
actfs021.via.novonet|NONHPSA|reporting
actmg001.via.novonet|HPSA|reporting
ai-npe2.imuat.root-uat.net||
ai-pe1.im.root-domain.net||
ai-pe2.im.root-domain.net||
ajax cluster.via.novonet||
alfa cluster.via.novonet||
amazon.via.novonet|NONHPSA|reporting
animal.via.novonet||
animal_plus.via.novonet||
aplnu1ea.via.novonet|NONHPSA|reporting
aplnu1ra.via.novonet|NONHPSA|reporting
aplnu1sa.via.novonet|NONHPSA|reporting
aplnu1sb.via.novonet|NONHPSA|reporting
aplnu1za.via.novonet|NONHPSA|reporting
aplnu1zb.via.novonet|NONHPSA|reporting
appd005a.via.novonet|NONHPSA|reporting
appd006a.via.novonet|NONHPSA|reporting
appd007a.via.novonet|NONHPSA|reporting
appd008a.via.novonet|NONHPSA|reporting
appd009a.via.novonet|NONHPSA|reporting
appd012a.via.novonet|NONHPSA|reporting
appd015a.via.novonet||
appd016a.via.novonet|NONHPSA|reporting
appd020a.via.novonet|NONHPSA|reporting
appd029a.via.novonet|NONHPSA|reporting
appd030a.via.novonet|NONHPSA|reporting
appd031a.via.novonet|NONHPSA|reporting
appd032a.via.novonet|NONHPSA|reporting
appd033a.via.novonet||
appd034a.via.novonet|NONHPSA|reporting
appd036a.via.novonet|NONHPSA|reporting
appd037a.via.novonet|NONHPSA|reporting
appd040a.via.novonet|NONHPSA|reporting
appd041a.via.novonet|NONHPSA|reporting
appd047a.via.novonet|NONHPSA|reporting
appd050a.via.novonet|NONHPSA|reporting
appd051a.via.novonet||
appd052a.via.novonet|NONHPSA|reporting
appd053a.via.novonet|NONHPSA|reporting
appd054a.via.novonet|NONHPSA|reporting
appd055a.via.novonet|NONHPSA|reporting
appd056a.via.novonet|NONHPSA|reporting
appd057a.via.novonet|NONHPSA|reporting
appd058a.via.novonet|NONHPSA|reporting
appd061a.via.novonet|NONHPSA|reporting
appd064a.via.novonet|NONHPSA|reporting
appd065a.via.novonet|NONHPSA|reporting
appd066a.via.novonet|NONHPSA|reporting
appd069a.via.novonet|HPSA|reporting
appd069a.via.novonet|NONHPSA|reporting
appd070a.via.novonet|NONHPSA|reporting
appd071a.via.novonet|NONHPSA|reporting
appd072a.via.novonet|NONHPSA|reporting
appd074a.via.novonet|NONHPSA|reporting
appd075a.via.novonet|NONHPSA|reporting
appd080a.via.novonet|NONHPSA|reporting
appd082a.via.novonet||
appd084a.via.novonet|NONHPSA|reporting
appd093a.via.novonet|NONHPSA|reporting
appl004a.via.novonet|NONHPSA|reporting
appl005a.via.novonet|NONHPSA|reporting
appl014a.via.novonet|NONHPSA|reporting
appl015a.via.novonet|NONHPSA|reporting
appl019a.via.novonet|NONHPSA|reporting
appl020a.via.novonet|NONHPSA|reporting
appl023a.via.novonet|NONHPSA|reporting
appl024a.via.novonet|NONHPSA|reporting
appl025a.via.novonet|NONHPSA|reporting
appl031g.via.novonet|HPSA|reporting
appl031g.via.novonet|NONHPSA|reporting
appl032g.via.novonet|NONHPSA|reporting
appl035a.via.novonet|HPSA|reporting
appl035a.via.novonet|NONHPSA|reporting
appl042a.via.novonet|NONHPSA|reporting
appl044a.via.novonet|NONHPSA|reporting
appl045a.via.novonet|NONHPSA|reporting
appl046a.via.novonet|NONHPSA|reporting
appl047a.via.novonet|HPSA|reporting
appl047a.via.novonet|NONHPSA|reporting
appl048a.via.novonet|NONHPSA|reporting
appl049a.via.novonet|HPSA|reporting
appl049a.via.novonet|NONHPSA|reporting
appl050a.via.novonet|NONHPSA|reporting
appl051a.via.novonet|NONHPSA|reporting
appl052a.via.novonet|NONHPSA|reporting
appl053a.via.novonet|NONHPSA|reporting
appl054a.via.novonet|NONHPSA|reporting
appl055a.via.novonet|NONHPSA|reporting
appl056a.via.novonet|NONHPSA|reporting
appl060a.via.novonet||
appl061a.via.novonet|NONHPSA|reporting
appl073a.via.novonet|NONHPSA|reporting
appl093a.via.novonet|NONHPSA|reporting
appl094a.via.novonet|NONHPSA|reporting
appl095a.via.novonet|NONHPSA|reporting
appl096a.via.novonet|NONHPSA|reporting
appl097a.via.novonet|NONHPSA|reporting
appl104a.via.novonet|NONHPSA|reporting
appl113a.via.novonet|NONHPSA|reporting
appl116a.via.novonet|HPSA|reporting
appl116a.via.novonet|NONHPSA|reporting
appl117a.via.novonet|NONHPSA|reporting
appl122a.via.novonet|NONHPSA|reporting
appl128a.via.novonet|HPSA|reporting
appl128a.via.novonet|NONHPSA|reporting
appl130a.via.novonet|NONHPSA|reporting
appl135a.via.novonet|NONHPSA|reporting
appl137a.via.novonet|NONHPSA|reporting
appl138a.via.novonet|HPSA|reporting
appl138a.via.novonet|NONHPSA|reporting
appl141a.via.novonet|NONHPSA|reporting
appl142a.via.novonet|NONHPSA|reporting
appl143a.via.novonet|NONHPSA|reporting
appl145a.via.novonet|NONHPSA|reporting
appl146a.via.novonet|NONHPSA|reporting
appl147a.via.novonet|NONHPSA|reporting
appl148a.via.novonet|NONHPSA|reporting
appl149a.via.novonet|NONHPSA|reporting
appl150a.via.novonet|NONHPSA|reporting
appl152a.via.novonet|NONHPSA|reporting
appl153a.via.novonet|NONHPSA|reporting
appl154a.via.novonet|NONHPSA|reporting
appl155a.via.novonet|NONHPSA|reporting
appl158a.via.novonet|NONHPSA|reporting
appl159a.via.novonet|HPSA|reporting
appl159a.via.novonet|NONHPSA|reporting
appl161a.via.novonet|NONHPSA|reporting
appl162a.via.novonet|NONHPSA|reporting
appl165a.via.novonet|NONHPSA|reporting
appl167a.via.novonet|HPSA|reporting
appl167a.via.novonet|NONHPSA|reporting
appl168a.via.novonet|NONHPSA|reporting
appl169a.via.novonet|NONHPSA|reporting
appl171a.via.novonet|NONHPSA|reporting
appl172a.via.novonet|NONHPSA|reporting
appl174a.via.novonet|NONHPSA|reporting
appl188a.via.novonet|NONHPSA|reporting
appl193a.via.novonet|NONHPSA|reporting
appl194a.via.novonet|NONHPSA|reporting
appl195a.via.novonet|NONHPSA|reporting
appl196a.via.novonet|NONHPSA|reporting
appl210a.via.novonet|NONHPSA|reporting
appl211a.via.novonet|NONHPSA|reporting
appl213a.via.novonet|NONHPSA|reporting
appl217a.via.novonet|NONHPSA|reporting
appl229a.via.novonet|NONHPSA|reporting
appl230a.via.novonet|NONHPSA|reporting
appl231a.via.novonet|NONHPSA|reporting
appl233a.via.novonet|NONHPSA|reporting
appl237a.via.novonet||
appl239a.via.novonet|HPSA|reporting
appl239a.via.novonet|NONHPSA|reporting
appl240a.via.novonet|NONHPSA|reporting
appl241a.via.novonet|NONHPSA|reporting
appl242a.via.novonet|NONHPSA|reporting
appl243a.via.novonet|NONHPSA|reporting
appl244a.via.novonet|NONHPSA|reporting
appl245a.via.novonet|NONHPSA|reporting
appl246a.via.novonet|NONHPSA|reporting
appl249a.via.novonet|NONHPSA|reporting
appl250a.via.novonet|NONHPSA|reporting
appl254a.via.novonet|NONHPSA|reporting
appl255a.via.novonet|NONHPSA|reporting
appl257a.via.novonet|NONHPSA|reporting
appl259a.via.novonet|NONHPSA|reporting
appl261a.via.novonet|NONHPSA|reporting
appl263a.via.novonet|NONHPSA|reporting
appl265a.via.novonet|NONHPSA|reporting
appl267a.via.novonet|NONHPSA|reporting
appl269a.via.novonet|NONHPSA|reporting
appl283a.via.novonet|NONHPSA|reporting
appl284a.via.novonet|NONHPSA|reporting
appl285a.via.novonet|NONHPSA|reporting
appl286a.via.novonet|NONHPSA|reporting
appl287a.via.novonet|NONHPSA|reporting
appl288a.via.novonet|NONHPSA|reporting
appl289a.via.novonet|NONHPSA|reporting
appl298a.via.novonet|NONHPSA|reporting
appl299a.via.novonet|NONHPSA|reporting
appl300a.via.novonet|NONHPSA|reporting
appl303a.via.novonet|NONHPSA|reporting
appl305a.via.novonet|NONHPSA|reporting
appl306a.via.novonet|NONHPSA|reporting
appl307a.via.novonet|NONHPSA|reporting
appl314a.via.novonet|NONHPSA|reporting
appl315a.via.novonet|NONHPSA|reporting
appl317a.via.novonet|NONHPSA|reporting
appl318a.via.novonet|HPSA|reporting
appl318a.via.novonet|NONHPSA|reporting
appl319a.via.novonet|NONHPSA|reporting
appl323a.via.novonet|NONHPSA|reporting
appl324a.via.novonet|NONHPSA|reporting
appl325a.via.novonet|NONHPSA|reporting
appl326a.via.novonet|NONHPSA|reporting
appl327a.via.novonet|NONHPSA|reporting
appl328a.via.novonet|NONHPSA|reporting
appl331a.via.novonet|NONHPSA|reporting
appl338a.via.novonet|NONHPSA|reporting
