Full Node Name|System Status|Solution Name
021fv1b.via.novonet|obsolete|aviva uk:vio prd hpg(x)
021fv2b.via.novonet|obsolete|aviva uk:vio prd hpg(x)
022fv1c.via.novonet|obsolete|aviva uk:vio prd hpg(x)
022fv2c.via.novonet|obsolete|aviva uk:vio prd hpg(x)
025fv1b.via.novonet|in production|aviva uk:midrange nim prd hps
025fv2b.via.novonet|in production|aviva uk:vio prd hpg(x)
026fv1c.via.novonet|in production|aviva uk:vio prd hpg(x)
026fv2c.via.novonet|in production|aviva uk:vio prd hpg(x)
143dv1c.via.novonet|in production|aviva uk:vio prd hpg(x)
143dv2c.via.novonet|in production|aviva uk:vio prd hpg(x)
22bdv1b.via.novonet|in production|aviva uk:vio prd hpg(x)
22bdv2b.via.novonet|in production|aviva uk:vio prd hpg(x)
3590-manual ctl.via.novonet|in production|aviva uk:hardware management prd hps
3590-manual ctl.via.novonet|in production|aviva uk:tape services prd hps
3590-manual dr0.via.novonet|in production|aviva uk:hardware management prd hps
3590-manual dr0.via.novonet|in production|aviva uk:tape services prd hps
3590-manual dr1.via.novonet|in production|aviva uk:hardware management prd hps
3590-manual dr1.via.novonet|in production|aviva uk:tape services prd hps
3fbdv1b.via.novonet|in production|aviva uk:vio prd hps(x)
3fbdv2b.via.novonet|in production|aviva uk:vio prd hps(x)
5b4dv1c.via.novonet|in production|aviva uk:vio prd hpg(x)
5b4dv2c.via.novonet|in production|aviva uk:vio prd hpg(x)
5b5dv1b.via.novonet|in production|aviva uk:vio prd hpg(x)
5b5dv2b.via.novonet|in production|aviva uk:vio prd hpg(x)
5b6dv1b.via.novonet|in production|aviva uk:vio prd hpg(x)
5b6dv2b.via.novonet|in production|aviva uk:vio prd hpg(x)
5b7dv1c.via.novonet|in production|aviva uk:vio prd hpg(x)
5b7dv2c.via.novonet|in production|aviva uk:vio prd hpg(x)
9309 rack.via.novonet|in production|aviva uk:tape services prd hps(x)
actav002.via.novonet|in production|aviva uk:prophet prd hps(x)
actdfs01.via.novonet|in production|aviva uk:prophet prd hps(x)
actdfs02.via.novonet|in production|aviva uk:prophet prd hps(x)
actfs012.via.novonet|in production|aviva uk:prophet prd hps(x)
actfs013.via.novonet|in production|aviva uk:prophet prd hps(x)
actfs014.via.novonet|in production|aviva uk:prophet prd hps(x)
actfs015.via.novonet|in production|aviva uk:prophet prd hps(x)
actfs021.via.novonet|in production|aviva uk:prophet aviva france prd hps
actfs021.via.novonet|in production|aviva uk:prophet prd hps(x)
actmg001.via.novonet|in production|aviva uk:prophet prd hps(x)
ajax cluster.via.novonet|in production|aviva uk:backup management prd hpg
alfa cluster.via.novonet|in production|aviva uk:tdi6 prd hpg
amazon.via.novonet|in production|aviva uk:engineers diary prd hpp
animal.via.novonet|in production|aviva uk:midrange nim prd hpg
aplnu1ea.via.novonet|in production|aviva uk:aries (ukl) prd hps
aplnu1ra.via.novonet|in production|aviva uk:aries (ukl) prd hps
aplnu1ra.via.novonet|in production|aviva uk:network application prd hps
aplnu1sa.via.novonet|in production|aviva uk:aries (ukl) prd hps
aplnu1sa.via.novonet|in production|aviva uk:dos winapps prd hps(x)
aplnu1sb.via.novonet|in production|aviva uk:aries (ukl) prd hps
aplnu1sb.via.novonet|in production|aviva uk:dos winapps prd hps(x)
aplnu1za.via.novonet|in production|aviva uk:aries (ukl) prd hps
aplnu1za.via.novonet|in production|aviva uk:dos winapps prd hps(x)
aplnu1za.via.novonet|in production|aviva uk:sun accounts prd hps
aplnu1zb.via.novonet|in production|aviva uk:aries (ukl) prd hps
appd005a.via.novonet|in production|aviva uk:connect direct ramsey dev hps
appd006a.via.novonet|in production|aviva uk:connect direct ramsey dev hps
appd007a.via.novonet|in production|aviva uk:eureka dev hps
appd007a.via.novonet|in production|aviva uk:foglight dev hps(x)
appd007a.via.novonet|in production|aviva uk:sas ent guide v4 sas v9 dev hps
appd007a.via.novonet|in production|aviva uk:sas ent guide v4 sas v9 pre hps
appd007a.via.novonet|in production|aviva uk:sas ent guide v4 sas v9 uat hps
appd007a.via.novonet|in production|aviva uk:sas ms add in dev hps
appd007a.via.novonet|in production|aviva uk:sas olap cubes studio dev hps
appd007a.via.novonet|in production|aviva uk:sas olap cubes studio pre hps
appd007a.via.novonet|in production|aviva uk:sas olap cubes studio uat hps
appd007a.via.novonet|in production|aviva uk:sas v8 dev hps
appd007a.via.novonet|in production|aviva uk:sas v8 pre hps
appd007a.via.novonet|in production|aviva uk:sas v8 uat hps
appd007a.via.novonet|in production|aviva uk:sas v9 hc dev hps(x)
appd007a.via.novonet|in production|aviva uk:sas v9 hc pre hps
appd007a.via.novonet|in production|aviva uk:sas v9 hc uat hps
appd007a.via.novonet|in production|aviva uk:sas web report studio dev hps
appd007a.via.novonet|in production|aviva uk:sas web report studio pre hps
appd007a.via.novonet|in production|aviva uk:sas web report studio uat hps
appd007a.via.novonet|in production|aviva uk:tm1 bscf dev hps
appd008a.via.novonet|in production|aviva uk:foglight dev hps(x)
appd008a.via.novonet|in production|aviva uk:sas olap cubes studio dev hps
appd008a.via.novonet|in production|aviva uk:sas olap cubes studio pre hps
appd008a.via.novonet|in production|aviva uk:sas olap cubes studio uat hps
appd008a.via.novonet|in production|aviva uk:sas portal dev hps
appd008a.via.novonet|in production|aviva uk:sas stored process dev hps
appd008a.via.novonet|in production|aviva uk:sas v9 hc dev hps(x)
appd008a.via.novonet|in production|aviva uk:sas v9 hc pre hps
appd008a.via.novonet|in production|aviva uk:sas v9 hc uat hps
appd008a.via.novonet|in production|aviva uk:sas web olap viewer dev hps
appd008a.via.novonet|in production|aviva uk:sas web olap viewer pre hps
appd008a.via.novonet|in production|aviva uk:sas web olap viewer uat hps
appd008a.via.novonet|in production|aviva uk:sas web report studio dev hps
appd008a.via.novonet|in production|aviva uk:sas web report studio pre hps
appd008a.via.novonet|in production|aviva uk:sas web report studio uat hps
appd008a.via.novonet|in production|aviva uk:sas web report viewer dev hps
