Full Node Name|Inventory ID|Latest RIM Connect|Latest RIM Load|browser status
025fv1b.via.novonet||||
025fv2b.via.novonet||||
026fv1c.via.novonet||||
026fv2c.via.novonet||||
143dv1c.via.novonet||||
143dv2c.via.novonet||||
22bdv1b.via.novonet||||
22bdv2b.via.novonet||||
3590-manual ctl.via.novonet||||
3590-manual dr0.via.novonet||||
3590-manual dr1.via.novonet||||
3838143.via.novonet||||
3838421.via.novonet||||
3838422.via.novonet||||
3fbdv1b.via.novonet||||
3fbdv2b.via.novonet||||
5b4dv1c.via.novonet||||
5b4dv2c.via.novonet||||
5b5dv1b.via.novonet||||
5b5dv2b.via.novonet||||
5b6dv1b.via.novonet||||
5b6dv2b.via.novonet||||
5b7dv1c.via.novonet||||
5b7dv2c.via.novonet||||
9309 rack.via.novonet||||
actav002.via.novonet|7P6U6W7ZSBQI7D2SRIWPXLCHVA|2013-12-08 03:21:00|2013-12-10 03:59:00|PROD
actdfs01.via.novonet|LH3M3VSZAJSBQESHTBCN2W7N7I|2013-12-08 02:49:00|2013-12-10 03:59:00|
actdfs02.via.novonet|OYGVUNAJJHHDML6MK3ST4JYGUA|2013-12-08 03:21:00|2013-12-10 03:59:00|
actfs012.via.novonet|V3KTJZUQJIKPQLT5LRMHGH7JDQ|2013-12-08 02:35:00|2013-12-10 03:59:00|PROD
actfs013.via.novonet|RLVV7NBJMCUCO2ULSXZN2AZ7E4|2013-12-08 02:53:00|2013-12-10 03:59:00|PROD
actfs014.via.novonet|NIAIQ2SNJJ7ZSXWUQ2BNY7A5DM|2013-12-08 02:01:00|2013-12-10 03:59:00|PROD
actfs015.via.novonet|RAT5Q6NM75MKFUTXGA255CINCQ|2013-11-24 03:10:00|2013-12-10 03:59:00|PROD
actfs021.via.novonet|OQDMCCUWCQH3NFOMZ3SRLY2UKM|2013-12-08 02:16:00|2013-12-10 03:59:00|PROD
actmg001.via.novonet|HVMP4QCSXCWOWVLVGAKQ6W3IDU|2013-12-08 02:45:00|2013-12-10 03:59:00|
ai-npe2.imuat.root-uat.net||||
ai-pe1.im.root-domain.net||||
ai-pe2.im.root-domain.net||||
ajax cluster.via.novonet||||
alfa cluster.via.novonet||||
amazon.via.novonet|YVZHSG4POVKRBAWLPGBBSCSWDI|2013-12-08 02:58:00|2013-12-10 03:59:00|
animal.via.novonet||||
animal_plus.via.novonet||||
aplnu1ea.via.novonet|LTCLVGGCCW3W2UPRKTX5JBAQXQ|2013-12-08 03:42:00|2013-12-10 03:59:00|PROD
aplnu1ra.via.novonet|O2RPA5A5EG2WF47MSCXKATY7RA|2013-12-08 03:00:00|2013-12-10 03:59:00|PROD
aplnu1sa.via.novonet|YL5F2TBU7DXJNGNBP6BXULV6SM|2013-12-08 02:57:00|2013-12-10 03:59:00|PROD
aplnu1sb.via.novonet|5AEL46D36WRIVFIBHKBBRLDXBM|2013-12-08 03:28:00|2013-12-10 03:59:00|PROD
aplnu1za.via.novonet|ETAXASSV463CUGCBPKL5KFX3PM|2013-12-08 02:57:00|2013-12-10 03:59:00|PROD
aplnu1zb.via.novonet|MFXCLL7AWR64QSNFCQXCPNKKOY|2013-12-08 02:51:00|2013-12-10 03:59:00|PROD
appd005a.via.novonet|SBH4QXAEX7RZ3XEYLMUW43HRCY|2013-12-08 02:13:00|2013-12-10 03:59:00|PROD
appd006a.via.novonet|537BRBIA6XMXALUDAMWETFV3KQ|2013-12-08 02:28:00|2013-12-10 03:59:00|PROD
appd007a.via.novonet|S7VIBNVNTPDRNQ6CCFNZZWXQAU|2013-12-08 03:41:00|2013-12-10 03:59:00|PROD
appd008a.via.novonet|J67JUYJLOYJH72DUC6TBNWGWAY|2013-12-08 03:58:00|2013-12-10 03:59:00|PROD
appd009a.via.novonet|GSUA2Q5OC7SMMHQSDZAYNUV33A|2013-12-08 03:03:00|2013-12-10 03:59:00|PROD
appd012a.via.novonet|6N64D3TLI2ET6YMJFAPPTMXOUY|2013-12-08 02:13:00|2013-12-10 03:59:00|PROD
appd015a.via.novonet|7EYDNZLOL6SSJQOWA5KLYAKLOE|2013-12-08 03:42:00|2013-12-10 03:59:00|PROD
appd016a.via.novonet|OJJHGPTR6DNXUNXMDMVJCS6X2Q|2013-12-08 02:35:00|2013-12-10 03:59:00|PROD
appd020a.via.novonet|KBQSQ5UNDNZXFWAD5FMSGDXYIQ|2013-12-08 02:35:00|2013-12-10 03:59:00|PROD
appd029a.via.novonet|UVVAQ6TNVZZCPCTA63SY3IA5PU|2013-12-08 03:40:00|2013-12-10 03:59:00|PROD
appd030a.via.novonet|JIM32UZMCRLE36WZHI5NQTWOKU|2013-12-08 03:28:00|2013-12-10 03:59:00|PROD
appd031a.via.novonet|IMHQW6EHWZROF764N5F2EMEIXM|2013-12-08 03:25:00|2013-12-10 03:59:00|PROD
appd032a.via.novonet|4RDPVRFIDTKBXDDAB5WOC6XHKM|2013-12-08 02:03:00|2013-12-10 03:59:00|PROD
appd033a.via.novonet|JZBC6CSXSAESWZC2TKZQRTBMEM|2013-12-08 03:37:00|2013-12-10 03:59:00|PROD
appd034a.via.novonet|K3JJ6NMHAG5BE7L6OJKAQHQLC4|2013-12-08 03:38:00|2013-12-10 03:59:00|PROD
appd036a.via.novonet|GBR7Y5LEVBIZEJVGZ4IRB2V3HU|2013-12-08 03:46:00|2013-12-10 03:59:00|PROD
appd037a.via.novonet|L5QY3I5B25LJHNR3GHPFFPRP4U|2013-12-08 03:20:00|2013-12-10 03:59:00|PROD
appd040a.via.novonet|2RJP3FDTPMXRGR5E7JOOAE6KF4|2013-12-08 02:23:00|2013-12-10 03:59:00|PROD
appd041a.via.novonet|V5S4TLEE6GKHKSHYZQVZJHINMM|2013-12-08 02:48:00|2013-12-10 03:59:00|PROD
appd047a.via.novonet|HGXCL3VGIIXGO6BGUK5URT62ZA|2013-12-08 02:22:00|2013-12-10 03:59:00|PROD
appd050a.via.novonet|4OO7VAW3FTN35AC2P5JK5VT7BQ|2013-12-08 03:46:00|2013-12-10 03:59:00|PROD
appd051a.via.novonet|INHKU33VQ6VHZAUX766SYC6QEU|2013-12-08 02:58:00|2013-12-10 03:59:00|PROD
appd052a.via.novonet|JN33ZM736XUKXYSM7FQI2QD5CM|2013-12-08 02:20:00|2013-12-10 03:59:00|PROD
appd053a.via.novonet|P3W4WPFK7F4EKVCN7BCY5WLDNQ|2013-12-08 02:37:00|2013-12-10 03:59:00|PROD
appd054a.via.novonet|7T3EHBYDBWHDO5YXWB6JBHWFYM|2013-12-08 03:38:00|2013-12-10 03:59:00|PROD
appd055a.via.novonet|ZJLXSHQXKEJI2GSNYN5IY2ETAA|2013-12-08 02:42:00|2013-12-10 03:59:00|PROD
appd056a.via.novonet|OWINKKYBS56B2CTUT5XM373TZE|2013-12-08 03:49:00|2013-12-10 03:59:00|PROD
appd057a.via.novonet|ERMOD4DKVTF4UDYD7HD4M4O2V4|2013-12-08 02:25:00|2013-12-10 03:59:00|PROD
appd058a.via.novonet|FYULZ6R6R7D5JT4UF76NTXORGE|2013-12-08 03:35:00|2013-12-10 03:59:00|PROD
appd061a.via.novonet|HWRHBRM4AS4QFUGJLBVNEFX73E|2013-12-08 03:57:00|2013-12-10 03:59:00|PROD
appd064a.via.novonet|JGFMS6GSCXWQXHHOWNFRR7URME|2013-12-08 03:49:00|2013-12-10 03:59:00|PROD
appd065a.via.novonet|N4RMIKROZIN6U2XJ27EMVKMKMI|2013-12-08 03:48:00|2013-12-10 03:59:00|PROD
appd066a.via.novonet|A6N7SW2NXEIOKWTSJOOCEBVVTU|2013-12-08 03:47:00|2013-12-10 03:59:00|PROD
appd069a.via.novonet|KSPTUZGBTJ5LUILQXX6733S5R4|2013-12-01 03:00:00|2013-12-10 03:59:00|PROD
appd070a.via.novonet|F26H5533TVARI25ZUVLX3ZSJXE|2013-12-08 03:25:00|2013-12-10 03:59:00|PROD
appd071a.via.novonet|3JHXJ2MCUEN4GUX5EWZEA2G3C4|2013-12-08 03:02:00|2013-12-10 03:59:00|PROD
appd072a.via.novonet|ZLQMHAKLQYOF7JKUMFYIYW6FUA|2013-12-08 03:17:00|2013-12-10 03:59:00|PROD
appd074a.via.novonet|52247JN5FM3NURNLEZCGZC2IWQ|2013-12-08 03:48:00|2013-12-10 03:59:00|PROD
appd075a.via.novonet|YFHJSBZNFL6YZU57HQO355Y2WM|2013-12-08 03:27:00|2013-12-10 03:59:00|PROD
appd080a.via.novonet|MZQCAQDUG6C5NUCYLBZCIAECSU|2013-12-08 04:02:00|2013-12-10 03:59:00|PROD
appd082a.via.novonet|6SDN42AJGOWXEKVH47QLISRANU|2013-12-08 02:09:00|2013-12-10 03:59:00|PROD
appd084a.via.novonet|E6DHHXJMHTIGMC5BA5PR74RFSU|2013-12-08 03:36:00|2013-12-10 03:59:00|PROD
appd093a.via.novonet|HTSN4JMBPPHQEAJNR32TVXK5FY|2013-12-08 02:21:00|2013-12-10 03:59:00|PROD
