Full Node Name|Usage|Detailed Usage
025fv1b.via.novonet|Other|VIO Network or Storage
025fv2b.via.novonet|Other|VIO Network or Storage
026fv1c.via.novonet|Other|VIO Network or Storage
026fv2c.via.novonet|Other|VIO Network or Storage
143dv1c.via.novonet|Other|VIO Network or Storage
143dv2c.via.novonet|Other|VIO Network or Storage
22bdv1b.via.novonet|Other|VIO Network or Storage
22bdv2b.via.novonet|Other|VIO Network or Storage
3590-manual ctl.via.novonet|Backup Management|
3590-manual dr0.via.novonet|Backup Management|
3590-manual dr1.via.novonet|Backup Management|
3838143.via.novonet|Other|Blade Chassis
3838421.via.novonet|Other|Blade Chassis
3838422.via.novonet|Other|Blade Chassis
3fbdv1b.via.novonet|Other|VIO Network or Storage
3fbdv2b.via.novonet|Other|VIO Network or Storage
5b4dv1c.via.novonet|Other|VIO Network or Storage
5b4dv2c.via.novonet|Other|VIO Network or Storage
5b5dv1b.via.novonet|Other|VIO Network or Storage
5b5dv2b.via.novonet|Other|VIO Network or Storage
5b6dv1b.via.novonet|Other|VIO Network or Storage
5b6dv2b.via.novonet|Other|VIO Network or Storage
5b7dv1c.via.novonet|Other|VIO Network or Storage
5b7dv2c.via.novonet|Other|VIO Network or Storage
9309 rack.via.novonet|Backup Management|
actav002.via.novonet|Business Application|Prophet
actdfs01.via.novonet|Business Application|Prophet
actdfs02.via.novonet|Business Application|Prophet
actfs012.via.novonet|Business Application|Prophet
actfs013.via.novonet|Business Application|Prophet
actfs014.via.novonet|Business Application|Prophet
actfs015.via.novonet|Business Application|Prophet
actfs021.via.novonet|Business Application|Prophet
actmg001.via.novonet|Business Application|Prophet
ai-npe2.imuat.root-uat.net|Other|obsolete hw
ai-pe1.im.root-domain.net|Other|obsolete hw
ai-pe2.im.root-domain.net|Other|obsolete hw
ajax cluster.via.novonet|Other|Midrange Cluster
alfa cluster.via.novonet|Other|Midrange Cluster
amazon.via.novonet|Other|Midrange Lpar
animal.via.novonet|Other|Midrange Lpar
animal_plus.via.novonet|Other|Midrange Host
aplnu1ea.via.novonet|Business Application|
aplnu1ra.via.novonet|Business Application|
aplnu1sa.via.novonet|Business Application|
aplnu1sb.via.novonet|Business Application|
aplnu1za.via.novonet|Business Application|
aplnu1zb.via.novonet|Business Application|
appd005a.via.novonet|Business Application|
appd006a.via.novonet|Business Application|
appd007a.via.novonet|Business Application|
appd008a.via.novonet|Business Application|
appd009a.via.novonet|Business Application|
appd012a.via.novonet|Business Application|
appd015a.via.novonet|Business Application|
appd016a.via.novonet|Business Application|
appd020a.via.novonet|Business Application|
appd029a.via.novonet|Business Application|
appd030a.via.novonet|Business Application|
appd031a.via.novonet|Business Application|
appd032a.via.novonet|Business Application|
appd033a.via.novonet|Business Application|
appd034a.via.novonet|Business Application|
appd036a.via.novonet|Business Application|
appd037a.via.novonet|Business Application|
appd040a.via.novonet|Business Application|
appd041a.via.novonet|Business Application|
appd047a.via.novonet|Business Application|
appd050a.via.novonet|Business Application|
appd051a.via.novonet|Business Application|
appd052a.via.novonet|Business Application|
appd053a.via.novonet|Business Application|
appd054a.via.novonet|Business Application|
appd055a.via.novonet|Business Application|
appd056a.via.novonet|Business Application|
appd057a.via.novonet|Business Application|
appd058a.via.novonet|Business Application|
appd061a.via.novonet|Business Application|
appd064a.via.novonet|Business Application|
appd065a.via.novonet|Business Application|
appd066a.via.novonet|Business Application|
appd069a.via.novonet|Business Application|
appd070a.via.novonet|Business Application|
appd071a.via.novonet|Business Application|
