Full Node Name|relation_type|parent_system
021fv2b.via.novonet|Server|guinness1.via.novonet
022fv1c.via.novonet|Server|guinness2.via.novonet
022fv2c.via.novonet|Server|guinness2.via.novonet
025fv1b.via.novonet|Server|marvin1.via.novonet
025fv2b.via.novonet|Server|marvin1.via.novonet
026fv1c.via.novonet|Server|marvin2.via.novonet
026fv2c.via.novonet|Server|marvin2.via.novonet
143dv1c.via.novonet|Server|rodney.via.novonet
143dv2c.via.novonet|Server|rodney.via.novonet
22bdv1b.via.novonet|Server|rachel.via.novonet
22bdv2b.via.novonet|Server|rachel.via.novonet
3590-manual ctl.via.novonet|Blade Enclosure|9309 rack.via.novonet
3590-manual dr0.via.novonet|Blade Enclosure|9309 rack.via.novonet
3590-manual dr1.via.novonet|Blade Enclosure|9309 rack.via.novonet
3fbdv1b.via.novonet|Server|delboy.via.novonet
3fbdv2b.via.novonet|Server|delboy.via.novonet
5b4dv1c.via.novonet|Server|genesis2.via.novonet
5b4dv2c.via.novonet|Server|genesis2.via.novonet
5b5dv1b.via.novonet|Server|galaxy1.via.novonet
5b5dv2b.via.novonet|Server|galaxy1.via.novonet
5b6dv1b.via.novonet|Server|genesis1.via.novonet
5b6dv2b.via.novonet|Server|genesis1.via.novonet
5b7dv1c.via.novonet|Server|galaxy2.via.novonet
5b7dv2c.via.novonet|Server|galaxy2.via.novonet
amazon.via.novonet|Cluster|victory cluster.via.novonet
amazon.via.novonet|Farm for Virtual Guest|spring2.via.novonet
animal.via.novonet|Farm for Virtual Guest|animal_plus.via.novonet
aplnu1ea.via.novonet|Farm for Virtual Guest|noncrit10.via.novonet
aplnu1ra.via.novonet|Farm for Virtual Guest|noncrit10.via.novonet
aplnu1sa.via.novonet|Farm for Virtual Guest|noncrit10.via.novonet
aplnu1sb.via.novonet|Farm for Virtual Guest|noncrit10.via.novonet
aplnu1za.via.novonet|Farm for Virtual Guest|noncrit10.via.novonet
aplnu1zb.via.novonet|Farm for Virtual Guest|noncrit10.via.novonet
appd005a.via.novonet|Farm for Virtual Guest|noncrit08.via.novonet
appd006a.via.novonet|Farm for Virtual Guest|noncrit08.via.novonet
appd012a.via.novonet|Farm for Virtual Guest|noncrit10.via.novonet
appd015a.via.novonet|Farm for Virtual Guest|noncrit10.via.novonet
appd016a.via.novonet|Farm for Virtual Guest|noncrit10.via.novonet
appd020a.via.novonet|Farm for Virtual Guest|noncrit10.via.novonet
appd029a.via.novonet|Farm for Virtual Guest|noncrit10.via.novonet
appd030a.via.novonet|Farm for Virtual Guest|noncrit08.via.novonet
appd031a.via.novonet|Farm for Virtual Guest|noncrit10.via.novonet
appd032a.via.novonet|Farm for Virtual Guest|noncrit10.via.novonet
appd033a.via.novonet|Farm for Virtual Guest|noncrit10.via.novonet
appd034a.via.novonet|Farm for Virtual Guest|noncrit10.via.novonet
appd036a.via.novonet|Farm for Virtual Guest|noncrit07.via.novonet
appd037a.via.novonet|Farm for Virtual Guest|noncrit08.via.novonet
appd038a.via.novonet|Farm for Virtual Guest|noncrit10.via.novonet
appd039a.via.novonet|Farm for Virtual Guest|noncrit01.via.novonet
appd040a.via.novonet|Farm for Virtual Guest|noncrit10.via.novonet
appd041a.via.novonet|Farm for Virtual Guest|buscrit03.via.novonet
appd047a.via.novonet|Farm for Virtual Guest|noncrit07.via.novonet
appd050a.via.novonet|Farm for Virtual Guest|noncrit07.via.novonet
appd051a.via.novonet|Farm for Virtual Guest|noncrit08.via.novonet
appd052a.via.novonet|Farm for Virtual Guest|noncrit01.via.novonet
appd053a.via.novonet|Farm for Virtual Guest|noncrit07.via.novonet
appd054a.via.novonet|Farm for Virtual Guest|noncrit07.via.novonet
appd055a.via.novonet|Farm for Virtual Guest|noncrit07.via.novonet
appd056a.via.novonet|Farm for Virtual Guest|buscrit02.via.novonet
appd057a.via.novonet|Farm for Virtual Guest|noncrit08.via.novonet
appd058a.via.novonet|Farm for Virtual Guest|buscrit02.via.novonet
appd061a.via.novonet|Farm for Virtual Guest|noncrit07.via.novonet
appd064a.via.novonet|Farm for Virtual Guest|noncrit07.via.novonet
appd065a.via.novonet|Farm for Virtual Guest|noncrit07.via.novonet
appd066a.via.novonet|Farm for Virtual Guest|noncrit07.via.novonet
appd070a.via.novonet|Farm for Virtual Guest|buscrit01.via.novonet
appd071a.via.novonet|Farm for Virtual Guest|noncrit07.via.novonet
appd072a.via.novonet|Farm for Virtual Guest|buscrit01.via.novonet
appd074a.via.novonet|Farm for Virtual Guest|buscrit01.via.novonet
appd075a.via.novonet|Farm for Virtual Guest|noncrit07.via.novonet
appd076a.via.novonet|Farm for Virtual Guest|buscrit01.via.novonet
appd080a.via.novonet|Farm for Virtual Guest|noncrit07.via.novonet
appd082a.via.novonet|Farm for Virtual Guest|noncrit12.via.novonet
appd084a.via.novonet|Farm for Virtual Guest|noncrit02.via.novonet
appd093a.via.novonet|Farm for Virtual Guest|noncrit10.via.novonet
appl004a.via.novonet|Farm for Virtual Guest|noncrit10.via.novonet
appl014a.via.novonet|Farm for Virtual Guest|noncrit11.via.novonet
appl015a.via.novonet|Farm for Virtual Guest|noncrit11.via.novonet
appl018a.via.novonet|Farm for Virtual Guest|noncrit10.via.novonet
appl019a.via.novonet|Farm for Virtual Guest|noncrit08.via.novonet
appl020a.via.novonet|Farm for Virtual Guest|noncrit08.via.novonet
appl023a.via.novonet|Farm for Virtual Guest|buscrit02.via.novonet
appl024a.via.novonet|Farm for Virtual Guest|noncrit11.via.novonet
appl025a.via.novonet|Farm for Virtual Guest|buscrit02.via.novonet
appl032g.via.novonet|Farm for Virtual Guest|noncrit801.via.novonet
appl041n.via.novonet|Farm for Virtual Guest|noncrit08.via.novonet
appl042a.via.novonet|Farm for Virtual Guest|noncrit11.via.novonet
appl044a.via.novonet|Farm for Virtual Guest|noncrit08.via.novonet
appl045a.via.novonet|Farm for Virtual Guest|noncrit02.via.novonet
appl046a.via.novonet|Farm for Virtual Guest|noncrit02.via.novonet
