
C:\Users\nobleric\dev\ESL-Data>c:\Users\nobleric\dev\neo4j\bin\neo4jshell -c -v -path c:/Users/nobleric/dev/neo4j/data -file os-types.cql 

+-------------------------------------------------------------------------------------------------------------------------+
| Solution                                                | Number_of_servers | OS_Types                                  |
+-------------------------------------------------------------------------------------------------------------------------+
| "aviva uk:cvm tracker prd hps(x)"                       | 1                 | ["Windows"]                               |
| "aviva uk:exceed claims warranty prd hps(x)"            | 5                 | ["Windows"]                               |
| "aviva uk:hp01 pre hps"                                 | 3                 | ["Windows","VMWare"]                      |
| "aviva uk:adviser portal (secure) pre hpg"              | 8                 | ["AIX"]                                   |
| "aviva uk:rita ii uat hps"                              | 1                 | ["z/OS"]                                  |
| "aviva uk:sas ds acturis data prd hpg"                  | 2                 | ["AIX","Other"]                           |
| "aviva uk:connect direct prd hps(x)"                    | 6                 | ["Windows"]                               |
| "aviva uk:dr prd hpg"                                   | 1                 | ["z/OS"]                                  |
| "aviva uk:business objects (ukgi) tst hps"              | 2                 | ["Windows"]                               |
| "aviva uk:ukdi quote & buy prd hps"                     | 17                | ["Windows","VMWare"]                      |
| "aviva uk:business objects (ai) uat1 hpb"               | 3                 | ["Windows"]                               |
| "aviva uk:dun & bradstreet cache pre hps"               | 2                 | ["Windows"]                               |
| "aviva uk:prophet pre hps"                              | 1                 | ["VMWare"]                                |
| "aviva uk:merlin uat hpb"                               | 4                 | ["AIX","Other"]                           |
| "aviva uk:mocca prd hps"                                | 1                 | ["Windows"]                               |
| "aviva uk:guidewire xml data store prd hps"             | 2                 | ["Linux"]                                 |
| "aviva uk:cafm explorer prd hps"                        | 1                 | ["Windows"]                               |
| "aviva uk:corporate admin system prd hpg(x)"            | 1                 | ["Other"]                                 |
| "aviva uk:cvm exclusions prd hps(x)"                    | 1                 | ["Windows"]                               |
| "aviva uk:administrator (dc) dev hps"                   | 3                 | ["Windows","Other"]                       |
| "aviva uk:storage & backup prd hps(x)"                  | 53                | ["Other","#UNDEFINED#","Windows"]         |
| "aviva uk:desktop mentor uat hps"                       | 2                 | ["Windows"]                               |
| "aviva uk:virtual host dev hps"                         | 3                 | ["VMWare"]                                |
| "aviva uk:on demand prd hpg"                            | 3                 | ["AIX","Other"]                           |
| "aviva uk:aviva-shareprice prd hps"                     | 1                 | ["Windows"]                               |
| "aviva uk:commercial ari dev hps"                       | 1                 | ["z/OS"]                                  |
| "aviva uk:dhs hospitality suite prd hpg"                | 2                 | ["Windows"]                               |
| "aviva uk:qlikview uatr hpb"                            | 1                 | ["Windows"]                               |
| "aviva uk:ukdi home quote & buy uat hpb"                | 2                 | ["Windows"]                               |
| "aviva uk:digital flood prd hpg"                        | 3                 | ["AIX","Other"]                           |
| "aviva uk:on demand dev hpg"                            | 3                 | ["AIX","Other"]                           |
| "aviva uk:cyber-ark eham prd hpg"                       | 1                 | ["Windows"]                               |
| "aviva uk:wsrte uat hpb"                                | 1                 | ["Windows"]                               |
| "aviva uk:hsbc student home cp tst hpb"                 | 8                 | ["Windows"]                               |
| "aviva uk:first direct travel pre hps"                  | 4                 | ["Windows"]                               |
| "aviva uk:ai hub schema uat hpb"                        | 2                 | ["SunOS/Solaris"]                         |
| "aviva uk:mdm dev hps"                                  | 3                 | ["AIX","Other"]                           |
| "aviva uk:party wps (ukl) tst hps"                      | 1                 | ["AIX"]                                   |
| "aviva uk:pension & annuity wps (ukl) prd hpg"          | 5                 | ["AIX","Other"]                           |
| "aviva uk:tam-sso (desktop) prd hps"                    | 1                 | ["AIX"]                                   |
| "aviva uk:mainframe aviva france tst hpb"               | 1                 | ["z/OS"]                                  |
| "aviva uk:datascore prd hpg"                            | 2                 | ["Windows"]                               |
| "aviva uk:fum uat1 hpb"                                 | 1                 | ["SunOS/Solaris"]                         |
| "aviva uk:creditor tst hps(x)"                          | 1                 | ["AIX"]                                   |
| "aviva uk:asc extranet prd hps"                         | 9                 | ["Windows"]                               |
| "aviva uk:ecommerce single sign on uat hps"             | 8                 | ["Windows","Linux"]                       |
| "aviva uk:house hold product variation db prd hps"      | 2                 | ["Windows"]                               |
| "aviva uk:fia - fixed income attribution prd hpg"       | 1                 | ["Windows"]                               |
| "aviva uk:tam 5 (ecommerce) sit hpb"                    | 1                 | ["Windows"]                               |
| "aviva uk:doyle uat hps"                                | 1                 | ["Windows"]                               |
| "aviva uk:tlm smartstream uat hpb"                      | 3                 | ["AIX","Other"]                           |
| "aviva uk:message broker (ai) uat0 hpb"                 | 3                 | ["SunOS/Solaris"]                         |
| "aviva uk:sbc finance02 prd hps"                        | 3                 | ["Windows"]                               |
| "aviva uk:capes dev hpb"                                | 2                 | ["Windows"]                               |
| "aviva uk:guidewire contact manager pre hps"            | 6                 | ["Linux"]                                 |
| "aviva uk:digital flood dev hpg"                        | 3                 | ["AIX","Other"]                           |
| "aviva uk:tam-sso (desktop) prd hps(x)"                 | 4                 | ["Windows"]                               |
| "aviva uk:4sight uat3 hpb"                              | 1                 | ["SunOS/Solaris"]                         |
| "aviva uk:capes db prd hpg"                             | 1                 | ["Windows"]                               |
| "aviva uk:tm1 bscf uat hpb"                             | 1                 | ["Windows"]                               |
| "aviva uk:mosar prd hpp"                                | 1                 | ["z/OS"]                                  |
| "aviva uk:dialogue (ukgi) tst hps"                      | 2                 | ["z/OS"]                                  |
| "aviva uk:radar (ukgi rtpo) pre hpg"                    | 6                 | ["Windows"]                               |
| "aviva uk:poet uat hps(x)"                              | 1                 | ["z/OS"]                                  |
| "aviva uk:creditor diary uat hps"                       | 1                 | ["z/OS"]                                  |
| "aviva uk:capes prd hpg(x)"                             | 1                 | ["Windows"]                               |
| "aviva uk:foglight prd hps"                             | 5                 | ["Windows"]                               |
| "aviva uk:mid uat hps"                                  | 2                 | ["z/OS"]                                  |
| "aviva uk:pulse prd hps"                                | 13                | ["Windows"]                               |
| "aviva uk:docucorp prd hps"                             | 10                | ["Windows"]                               |
| "aviva uk:mediaview prd hps"                            | 18                | ["Windows","VMWare"]                      |
| "aviva uk:asc mq sit hpb"                               | 2                 | ["AIX"]                                   |
| "aviva uk:administrator (dc) prd hps"                   | 3                 | ["Windows","Other"]                       |
| "aviva uk:rbom dev hpg"                                 | 1                 | ["z/OS"]                                  |
| "aviva uk:ads mod hpg"                                  | 2                 | ["AIX"]                                   |
| "aviva uk:sbc gi01-spire prd hps"                       | 1                 | ["Windows"]                               |
| "aviva uk:virtual management prd hps(x)"                | 168               | ["Windows","VMWare"]                      |
| "aviva uk:pci dev hps"                                  | 1                 | ["Other"]                                 |
| "aviva uk:vca self service portal uat hps"              | 2                 | ["Windows"]                               |
| "mainframe aviva italy tst hpb"                         | 1                 | ["z/OS"]                                  |
| "aviva uk:ez legacy prd hpb"                            | 1                 | ["Windows"]                               |
| "aviva uk:pension & annuity esb (ukl) sit hpb"          | 2                 | ["Linux"]                                 |
| "aviva uk:etl informatica (ukgi) uat hpg"               | 1                 | ["Other"]                                 |
| "aviva uk:virtual management prd hpg(x)"                | 8                 | ["Windows","VMWare"]                      |
| "aviva uk:ai ftp uat2 hpb"                              | 1                 | ["Windows"]                               |
| "aviva uk:foglight dev hps"                             | 1                 | ["Windows"]                               |
| "aviva uk:staff pensions sun accounts prd hpg"          | 3                 | ["Windows"]                               |
| "aviva uk:matlab prd hps"                               | 1                 | ["Windows"]                               |
| "aviva uk:polisy prd hpg"                               | 2                 | ["z/OS"]                                  |
| "aviva uk:bmmi prd hpp"                                 | 5                 | ["z/OS"]                                  |
| "aviva uk:documentum prd hpg"                           | 4                 | ["AIX","Windows"]                         |
| "aviva uk:cover note dev hps"                           | 1                 | ["z/OS"]                                  |
| "aviva uk:oracle fin tst hps"                           | 4                 | ["AIX","Other"]                           |
| "granta acs prd hpb"                                    | 1                 | ["Windows"]                               |
| "aviva uk:star aquarius portal prd hpg"                 | 4                 | ["Windows"]                               |
| "aviva uk:oracle fin pre hps"                           | 9                 | ["AIX","Other"]                           |
